,,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF FACILITY,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,113,REGION 3,Bulacan,Bustos,Poblacion,SNH BUSTOS CORPORATION,Private,N/A,General,Level 1,30,044-761-8337/0917-637-2153,snhbustscrpration@yahoo.com,1/1/2025,12/31/2025
,114,REGION 3,Bulacan,Calumpit,F. Fajardo St. Poblacion,"STA. CRUZ MULTISPECIALTY HOSPITAL, INC. (FORMERLY STA. CRUZ HOSPITAL)",Private,N/A,General,Level 1,17,044-202-4263,stacruzhosp@yahoo.com.ph,1/1/2025,12/31/2025
,115,REGION 3,Bulacan,Guiguinto,# 113 Cagayan Valley Road,"GUIGUINTO POLYMEDIC HOSPITAL, INC.",Private,N/A,General,Level 1,29,044-794-0788,guiguintopolymedichospital@yahoo.com,1/1/2025,12/31/2025
,116,REGION 3,Bulacan,Hagonoy,"Halang, San Pedro",DIVINE WORD HOSPITAL,Private,,General,Level 1,16,044-793-0034,divinewordhospital2023@gmail.com,1/1/2025,12/31/2025
,117,REGION 3,Bulacan,Hagonoy,"Toma Cruz Street, Sto. Ñiño",MATEO-MABBORANG GENERAL HOSPITAL,Private,N/A,General,Level 1,17,044-793-5574,mateo_mabborang@yahoo.com,1/1/2025,12/31/2025
,118,REGION 3,Bulacan,Malolos City,"Capitol View Park Subdivision, Brgy. Bulihan","ALLIED CARE EXPERTS (ACE) MALOLOS DOCTORS, INC.",Private,N/A,General,Level 2,70,044-816-7698/0933-817-2327,ace.malolos.doctors@gmail.com,1/1/2025,12/31/2025
,119,REGION 3,Bulacan,Malolos City,"# 44 Camia Street, Brgy. Dakila",GRAMAN MEDICAL & MATERNITY HOSPITAL INC.,Private,N/A,General,Level 1,45,044-896-2292/ 0917 544 1793,gramanHospital@yahoo.com,1/1/2025,12/31/2025
,120,REGION 3,Bulacan,Malolos City,Mcarthur Hi-Way,MALOLOS MATERNITY HOSPITAL & EYE CENTER,Private,N/A,General,Level 1,17,044-791-1930/ 0968-711-6982,kgcbcris@yahoo.com.ph,1/1/2025,12/31/2025
,121,REGION 3,Bulacan,Malolos City,Caniogan,MALOLOS SAN VICENTE HOSPITAL,Private,N/A,General,Level 1,12,044-791-5760,malolossanvicentehospital@yahoo.com.ph,1/1/2025,12/31/2025
,122,REGION 3,Bulacan,Malolos City,"F.Estrella St., Sto. Rosario",MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL INC,Private,N/A,General,Level 1,40,044-791-7274,mimh99@yahoo.com.ph,1/1/2025,12/31/2025
,123,REGION 3,Bulacan,Malolos City,"#4 Guareno St., Liang",OFELIA MENDOZA MATERNITY & GENERAL HOSPITAL - LIANG,Private,N/A,General,Level 1,17,044-791-0003/09175173234,olmmgh@yahoo.com,1/1/2025,12/31/2025
,124,REGION 3,Bulacan,Malolos City,Mojon Road,OFELIA MENDOZA MATERNITY & GENERAL HOSPITAL - MOJON,Private,N/A,General,Level 1,17,044-662-5060/09087719612,olmmgh@yahoo.com,1/1/2025,12/31/2025
,125,REGION 3,Bulacan,Malolos City,702 Matimbo,ROMEL CRUZ HOSPITAL,Private,N/A,General,Level 1,32,044-791-3025,romelcruzhospital@gmail.com,1/1/2025,12/31/2025
,126,REGION 3,Bulacan,Malolos City,"Dr. Peralta St., Guinhawa Subd.","SACRED HEART HOSPITAL OF MALOLOS, INC.",Private,N/A,General,Level 2,97,044-791-7177,sacredheartmalolos@yahoo.com,1/1/2025,12/31/2025
,127,REGION 3,Bulacan,Malolos City,"Mabini, Pinagbakahan",SANTISSIMA TRINIDAD HOSPITAL,Private,N/A,General,Level 1,15,0917-525-668/044-791-7331,stma.trinidad@yahoo.com,1/1/2025,12/31/2025
,128,REGION 3,Bulacan,Malolos City,F. Estrella St. Sto Rosario,SANTOS GENERAL HOSPITAL OF MALOLOS INC.,Private,N/A,General,Level 1,28,044-764-7370/0917-517-0433,santosgen2013@gmail.com,1/1/2025,12/31/2025
,129,REGION 3,Bulacan,Marilao,"C. Santiago St. Poblacion. 2,","MARILAO ST. MICHAEL FAMILY HOSPITAL, INC.",Private,N/A,General,Level 1,17,044-711-1832,msmfh_3019@yahoo.com,1/1/2025,12/31/2025
,130,REGION 3,Bulacan,Meycauayan City,"C.P. Soriente Bldg., Brgy. Camalig, 4th District",MARYMOUNT HOSPITAL INC.,Private,N/A,General,Level 2,33,9394588972,marymounthospital.2020.gmail.com,1/1/2025,12/31/2025
,131,REGION 3,Bulacan,Meycauayan City,"Km. 18, Mc Arthur Hi-Way, Banga","MEYCAUAYAN DOCTOR'S HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,80,044-840-7918,,1/1/2025,12/31/2025
,132,REGION 3,Bulacan,Meycauayan City,133 Mc Arthur Hi-Way Marilao-Meycauayan City,NAZARENUS COLLEGE FOUNDATION HOSPITAL,Private,N/A,General,Level 2,60,044-840-7948,ncfh79@gmail.com,1/1/2025,12/31/2025
,133,REGION 3,Bulacan,Meycauayan City,"Meymart Rd., Calvario",THE LORD'S HOSPITAL,Private,N/A,General,Level 1,14,044-769-9701,thelordshospital2003@gmail.com,1/1/2025,12/31/2025
,134,REGION 3,Bulacan,Paombong,"Provincial Road, Sto. Niño",SAN PASCUAL BAYLON MATERNITY AND GENERAL HOSPITAL,Private,N/A,General,Level 1,17,044-665-2818,sanpascualbaylongeneralhospital@yahoo.com,1/1/2025,12/31/2025
,135,REGION 3,Bulacan,Plaridel,"Gov. Padilla Road, Poblacion",DR. PERALTA HOSPITAL CO.,Private,N/A,General,Level 1,15,044-760-7685/0923-0817-424,dr.peraltahospital@yahoo.com,1/1/2025,12/31/2025
,136,REGION 3,Bulacan,Plaridel,"Gov. Padilla Road Poblacion, Plaridel",LA CONSOLACION UNIVERSITY GENERAL HOSPITAL,Private,N/A,General,Level 2,50,0447954255 loc 102,lcugh2010@yahoo.com.ph,1/1/2025,12/31/2025
,137,REGION 3,Bulacan,Plaridel,"#393 Banga 1, Plaridel, Bulacan",MARCELO-PADILLA CHILDREN'S & MEDICAL HOSPITAL CORPORATION,Private,N/A,General,Level 2,29,044-795-0119/0931-0768-981,,1/1/2025,12/31/2025
,138,REGION 3,Bulacan,Plaridel,"366 A. Vergel De Dios St. Sitio Looban, Tabang",MELVEREY MATERNITY & GENERAL HOSPITAL,Private,N/A,General,Level 1,14,044-697-2237/0943-446-4361,melvereyhospital@yahoo.com,1/1/2025,12/31/2025
,139,REGION 3,Bulacan,Pulilan,"National Road, Poblacion",DR. MAGDALENA S. REYES MEMORIAL HOSPITAL,Private,N/A,General,Level 1,18,044-795-0055,,1/1/2025,12/31/2025
,140,REGION 3,Bulacan,Pulilan,"Doña Remedios Trinidad Highway, Longos, Pulilan",OUR LADY OF MERCY GENERAL HOSPITAL,Private,N/A,General,Level 2,30,044-764-7872/096-8856-9511,,1/1/2025,12/31/2025
,141,REGION 3,Bulacan,San Ildefonso,Cagayan Valley Rd. San Juan,R DE C GALVEZ MEDICAL CENTER,Private,N/A,General,Level 1,53,044-677-1305/0922-808-5887,rdecgalvez.medicalcenter@yahoo.com,1/1/2025,12/31/2025
,142,REGION 3,Bulacan,San Jose del Monte City,Brgy Tungong Mangga,"BRIGINO GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,60,044-815-4456/0939 924 9918,leo_brigino@yahoo.com,1/1/2025,12/31/2025
,143,REGION 3,Bulacan,San Jose del Monte City,"B1 L2 Quirino Highway Ext., Brgy. Mulawin",GRACE MEDICAL CENTER,Private,N/A,General,Level 2,45,044-925-1131,,1/1/2025,12/31/2025
,144,REGION 3,Bulacan,San Jose del Monte City,"Altaraza, Tungkong Mangga",HEALTHWAY QUALIMED HOSPITAL SAN JOSE DEL MONTE,Private,N/A,General,Level 2,105,044-307-0000/0917-178-2298,,1/1/2025,12/31/2025
,145,REGION 3,Bulacan,San Jose del Monte City,"National Road, Muzon",KAIROS MATERNITY & GENERAL HOSPITAL,Private,N/A,General,Level 1,36,044-691-3113,kairos_hospital@yahoo.com,1/1/2025,12/31/2025
,146,REGION 3,Bulacan,San Jose del Monte City,122 Carriedo Street,SAN JOSE DEL MONTE-MUZON MEDICAL CENTER,Private,N/A,General,Level 2,50,044-323-3010/ 0936-926-4003,sjdmmuzonmedical@gmail.com,1/1/2025,12/31/2025
,147,REGION 3,Bulacan,San Jose del Monte City,"Skyline Drive Cor. Quirino Highway, Brgy. Tungkong Mangga, City Of San Jose Del Monte, Bulacan","SKYLINE HOSPITAL AND MEDICAL CENTER- BALIWAG, INC",Private,N/A,General,Level 2,65,02-7211-5245,,1/1/2025,12/31/2025
,148,REGION 3,Bulacan,San Miguel,"Norberto St., San Jose",EMMANUEL HOSPITAL,Private,N/A,General,Level 1,33,044-764-1857/ 09178338372,emmanuelhospital@hotmail.com,1/1/2025,12/31/2025
,149,REGION 3,Bulacan,Santa Maria,"Centro, San Jose, Bitag",DR. CABUCO HOSPITAL,Private,N/A,General,Level 1,25,044-913-5768/09338192953,socorro_zalamea@yahoo.com,1/1/2025,12/31/2025
,150,REGION 3,Bulacan,Sta. Maria,"# 60 Gov. F. Halili Ave.,Bagbaguin",MATEO'S DIAGNOSTIC CLINIC & GENERAL HOSP. INC.,Private,N/A,General,Level 1,29,044-641-2581/0969-060-8047,mateos_hospital_1980@yahoo.com,1/1/2025,12/31/2025
,151,REGION 3,Bulacan,Sta. Maria,"Plaridel Santiago Street, Poblacion",MENDOZA GENERAL HOSPITAL,Private,N/A,General,Level 1,17,044-228-2417/0995-230-2499,mendozahospital@rocketmail.com,1/1/2025,12/31/2025
,152,REGION 3,Bulacan,Sta. Maria,"National Road corner Sitio Bato, Brgy. Guyong",STA. MARIA MEDICAL CENTER,Private,,General,Level 2,44,9175704414,acestamaria2019@gmail.com,1/1/2025,12/31/2025
,153,REGION 3,Nueva Ecija,Cabanatuan City,"Circumferential Rd., San Juan Accfa","IMMACULATE CONCEPTION MEDICAL CENTER OF CENTRAL LUZON, INC.",Private,N/A,General,Level 2,94,044-940-0900,icmc_hrmo@yahoo.com,1/1/2025,12/31/2025
,154,REGION 3,Nueva Ecija,Cabanatuan City,"Maharlika Hi-Way, Sumacab Este","NUEVA ECIJA DOCTOR'S HOSPITAL, INC.",Private,N/A,General,Level 2,133,044-960-5504/ 0917-512-7301,nedoctorshospital@gmail.com,1/1/2025,12/31/2025
,155,REGION 3,Nueva Ecija,Cabanatuan City,"Burgos Avenue, Brgy. Sangitan","NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC.",Private,,General,Level 2,100,,negoodsamaritanhospital@gmail.com,1/1/2025,12/31/2025
,156,REGION 3,Nueva Ecija,Cabanatuan City,"Daan Sarile, Maharlika Hi-Way",PREMIERE MEDICAL CENTER,Private,N/A,General,Level 3,125,9294909859,premiere.113@gmail.com. premiere_medcenter@yahoo.com.ph,1/1/2025,12/31/2025
,157,REGION 3,Nueva Ecija,Cabanatuan City,"Tandang Sora St., Mabini Ext.",WESLEYAN UNIVERSITY-PHILIPPINES,Private,N/A,General,Level 2,100,044-463-4735,wuphospital@yahoo.com.ph,1/1/2025,12/31/2025
,158,REGION 3,Nueva Ecija,Cabiao,San Fernando Sur,CABIAO GENERAL HOSPITAL,Private,N/A,General,Level 1,17,(044) 486-6337,onemed@yahoo.com,1/1/2025,12/31/2025
,159,REGION 3,Nueva Ecija,Cabiao,#5 San Juan North,DR. APOLLO DUQUE MEMORIAL HOSPITAL,Private,N/A,General,Level 1,17,(044) 4865046,apolloduque01@gmail.com,1/1/2025,12/31/2025
,160,REGION 3,Nueva Ecija,Gapan City,"San Vicente, Bucana","NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEM, INC. (EXT)",Private,N/A,General,Level 2,40,044-486-2363,gapangoodsam@gmail.com,1/1/2025,12/31/2025
,161,REGION 3,Nueva Ecija,Guimba,"Bagain St., Sta. Veronica Subd.","GUIMBA GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,17,(044) 958-1643,r_lumang@yahoo.com,1/1/2025,12/31/2025
,162,REGION 3,Nueva Ecija,San Isidro,"J.P. Rizal St., Purok 7, Jas Ave. Alua",NUEVA ECIJA MEDICS HOSPITAL,Private,N/A,General,Level 1,29,0932 843 2374,nemedicshospital@yahoo.com,1/1/2025,12/31/2025
,163,REGION 3,Nueva Ecija,San Jose City,"Sobrpeña Drive, Brgy Rafael Rueda",HEART OF JESUS HOSPITAL,Private,N/A,General,Level 1,80,044 958 9108,heartofjesushospital@yahoo.com,1/1/2025,12/31/2025
,164,REGION 3,Nueva Ecija,San Leonardo,#180 Castellano,DR. GLORIA LACSON GENERAL HOSPITAL,Private,N/A,General,Level 1,50,(044) 486-2432/486-2918,dgdlgh@yahoo.com,1/1/2025,12/31/2025
,165,REGION 3,Nueva Ecija,San Leonardo,Maharlika Hi-Way San Anton,"NUEVA ECIJA MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,9209622810,ne_medicalcenter@yahoo.com,1/1/2025,12/31/2025
,166,REGION 3,Nueva Ecija,San Leonardo,"Maharlika Hi-Way, San Anton",SOUTH ECIJA DOCTORS GENERAL HOSPITAL,Private,N/A,General,Level 1,24,096-8878-2649,southecija2021@gmail.com,1/1/2025,12/31/2025
,167,REGION 3,Nueva Ecija,Santo Domingo,"Baloc, AH-26","SAINT DOMINIC GENERAL HOSPITAL, INC.",Private,,General,Level 2,52,,pceo.sec.sdghi@gmail.com,1/1/2025,12/31/2025
,168,REGION 3,Pampanga,Angeles City,Brgy. Sto. Domingo,AC SACRED HEART MEDICAL CENTER,Private,N/A,General,Level 2,75,094-7821-8372,sacredheartmedicalcenter@yahoo.com,1/1/2025,12/31/2025
,169,REGION 3,Pampanga,Angeles City,"Lot 7 blk 29, Diamond Subdivision, Orosa st., Balibago","ANGELES CITY MOTHER AND CHILD HOSPITAL, INC.",Private,N/A,General,Level 1,28,045-901-7315,acmch.nso@gmail.com,9/25/2025,12/31/2025
,170,REGION 3,Pampanga,Angeles City,#641 Rizal Street,"ANGELES MEDICAL CENTER, INC.",Private,N/A,General,Level 2,69,045-887-3139,amc_inc72@yahoo.com,1/1/2025,12/31/2025
,171,REGION 3,Pampanga,Angeles City,Mc Arthur Highway,ANGELES UNIVERSITY FOUNDATION,Private,N/A,General,Level 3,161,045-625-2999,md.aufmc@gmail.com info@aufmc.org,1/1/2025,12/31/2025
,172,REGION 3,Pampanga,Angeles City,#648 Rizal Street,DR. AMANDO L. GARCIA MEDICAL CENTER,Private,N/A,General,Level 2,79,045-888-8992,,1/1/2025,12/31/2025
,173,REGION 3,Pampanga,Angeles City,"Ninoy Aquino Ave., Clark Special Economic Zone, Clarkfiled",OUR LADY OF MT. CARMEL-CLARK,Private,N/A,General,Level 1,17,(045) 4990103,mtcarmelclark@gmail.com,1/1/2025,12/31/2025
,174,REGION 3,Pampanga,Angeles City,"Blk 6 Lot 11, Arayat Blvd., Brgy. Pampang",PRI MEDICAL CENTER,Private,N/A,General,Level 2,100,0917-180-8886,primc.hrd@gmail.com,1/1/2025,12/31/2025
,175,REGION 3,Pampanga,Angeles City,Brgy. Cutcut,ST. CATHERINE OF ALEXANDRIA FOUNDATION AND MEDICAL CENTER,Private,N/A,General,Level 2,93,9189481097,scafmc.hospital@gmail.com,1/1/2025,12/31/2025
,176,REGION 3,Pampanga,Apalit,"Gonzales Ave., San Juan","APALIT DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 1,15,(045) 652-0030,apalithospmds@yahoo.com,1/1/2025,12/31/2025
,177,REGION 3,Pampanga,Apalit,"Gonzales Ave., San Juan",ASSCOM MEDICAL CENTER,Private,N/A,General,Level 1,29,(045) 652-0089,asccomdlsuhospital@yahoo.com,1/1/2025,12/31/2025
,178,REGION 3,Pampanga,Apalit,Mc Arthur Hi-Way San Vicente,E.D. LIM MEDICAL CENTER,Private,N/A,General,Level 1,17,(045) 302-8215/879-0213,edlim.hospital@yahoo.com,1/1/2025,12/31/2025
,179,REGION 3,Pampanga,Apalit,"Mc Arthur Hi-Way, Brgy. Sampaloc, Apalit","PAMPANGA PREMIER MEDICAL CENTER, INC.",Private,N/A,General,Level 2,60,045-4250084,ppmcinformation@gmail.com,1/1/2025,12/31/2025
,180,REGION 3,Pampanga,Arayat,"O-G Road, Mangga, Cacutud",ARAYAT DOCTORS HOSPITAL,Private,N/A,General,Level 1,29,045 305 013,doccjmatias@yahoo.com,1/1/2025,12/31/2025
,181,REGION 3,Pampanga,Arayat,"Plazang Luma, Arayat","HOLY TRINITY MEDICAL CENTER, INC.",Private,N/A,General,Level 2,47,045-885-0565,htgh2005@gmail.com,1/1/2025,12/31/2025
,182,REGION 3,Pampanga,Arayat,Plazang Luma,LINGAP GENERAL HOSPITAL,Private,N/A,General,Level 1,50,045-885-2355/ 0906-298-9449,,1/1/2025,12/31/2025
,183,REGION 3,Pampanga,Floridablanca,"Valdez, Floridablanca","FLORIDABLANCA DOCTORS' HOSPITAL, INC.",Private,N/A,General,Level 2,53,0992-6068-103/ 045-626-5360,fdhi.jette@gmail.com,1/1/2025,12/31/2025
,184,REGION 3,Pampanga,Guagua,"Km. 80 O-G Road, Sa Antonio, Guagua",PAMPANGA MEDICAL SPECIALIST HOSPITAL,Private,N/A,General,Level 2,120,045-455-7674,,1/1/2025,12/31/2025
,185,REGION 3,Pampanga,Guagua,"San Roque, Guagua",ROSARIO MEDICAL CENTER OF GUAGUA,Private,N/A,General,Level 1,48,045-900-4086,,1/1/2025,12/31/2025
,186,REGION 3,Pampanga,Lubao,"O-G Road Centro I, Brgy. Remedios","ST. JOSEPH HOSPITAL OF REMEDIOS, INC.",Private,N/A,General,Level 1,17,045-404-0052/09178853435,sjhr.2013@yahoo.com.ph,1/1/2025,12/31/2025
,187,REGION 3,Pampanga,Mabalacat City,"Mc Arthur Highway Brgy. Camachiles, Dau",ST. RAPHAEL FOUNDATION AND MEDICAL CENTER,Private,N/A,General,Level 2,57,045-331-1288/09952519736,srfmc.it@gmail.com,1/1/2025,12/31/2025
,188,REGION 3,Pampanga,Mabalacat City,Clark Frreeport Zone,"THE MEDICAL CITY CLARK, INC.",Private,N/A,General,Level 2,103,045-3008888,tmcclark@themedicalcityclark.com,1/1/2025,12/31/2025
,189,REGION 3,Pampanga,Mabalacat City,"#10 Imelda Marcos Blvd., San Joaquin","TIGLAO MEDICAL CENTER FOUNDATION, INC.",Private,N/A,General,Level 1,17,(045) 331-7700/09177194106,tmcfi.income.report@gmail.com,1/1/2025,12/31/2025
,190,REGION 3,Pampanga,Macabebe,#6 Talag St.,"OUR LADY OF ROSARY HOSPITAL, INC.",Private,N/A,General,Level 1,17,(045) 921-1215,olrh.castilllo@yahoo.com,1/1/2025,12/31/2025
,191,REGION 3,Pampanga,Magalang,"Sitio Mandani, San Antonio",ST. JOHN PAUL II MEDICAL CENTER CORP.,Private,N/A,General,Level 1,41,9053683104,,1/1/2025,12/31/2025
,192,REGION 3,Pampanga,San Fernando City,Dolores City Of San Fernando,GREENCITY MEDICAL CENTER,Private,N/A,General,Level 2,122,045-649-8701,executiveofficegmc@gmail.com,1/1/2025,12/31/2025
,193,REGION 3,Pampanga,San Fernando City,Mcarthur Highway,MOTHER TERESA OF CALCUTTA MEDICAL CENTER,Private,N/A,General,Level 2,129,045-455-2128/0917-943-4069,lavernemanguerra@yahoo.com,1/1/2025,12/31/2025
,194,REGION 3,Pampanga,San Fernando City,Km 78 Mc Arthur Highway Brgy. Saguin,OUR LADY OF MT. CARMEL MEDICAL CENTER,Private,N/A,General,Level 3,115,045-865-6262/0918-936-8624,olmcmc@yahoo.com,1/1/2025,12/31/2025
,195,REGION 3,Pampanga,San Fernando City,Mc Arthur Highway,"SAN FERNANDINO HOSPITAL, INC.",Private,N/A,General,Level 1,29,045-961-1406,sfhospital@yahoo.com,1/1/2025,12/31/2025
,196,REGION 3,Pampanga,San Fernando City,"B. Mendoza St., Sto. Rosario",V.L. MAKABALI MEMORIAL HOSPITAL,Private,N/A,General,Level 2,71,045-9612234,makabali_hospital@yahoo.com,1/1/2025,12/31/2025
,197,REGION 3,Pampanga,Sto. Tomas,Mac Arthur Hi-Way San Matias,"LEONARDO B. MANABAT SR., HOSPITAL INC.",Private,N/A,General,Level 1,17,(045) 435-2104,mmgh_82@yahoo.com,1/1/2025,12/31/2025
,198,REGION 3,Tarlac,Camiling,"Romulo Hi-Way, Palimbo",SALVADOR GENERAL HOSPITAL,Private,N/A,General,Level 1,20,(045) 934-0312,salvadorgeneralhospital@yahoo.com,1/1/2025,12/31/2025
,199,REGION 3,Tarlac,Camiling,"P. Burgos St., Poblacion, Camiling","SEÑOR STO. NIÑO HOSPITAL, INC.",Private,N/A,General,Level 2,57,9190695261,ssnhospitalinc@ssnhinc.com,1/1/2025,12/31/2025
,200,REGION 3,Tarlac,Capas,"Mc Arthur Highway, Brgy Sto. Domingo 2Nd Capas",CAPAS MEDICAL CENTER,Private,N/A,General,Level 1,45,045-925-5937/ 0917-529-6394,capasmedicalcenter2017@gmail.com,1/1/2025,12/31/2025
,201,REGION 3,Tarlac,Concepcion,"F. Timbol St., San Nicolas",DR. EUTIQUIO LL. ATANACIO JR. MEMORIAL HOSPITAL,Private,N/A,General,Level 1,17,(045) 923-0240,deamhi@yahoo.com.ph,1/1/2025,12/31/2025
,202,REGION 3,Tarlac,Concepcion,Green Village,"IMMACULATE CONCEPCION POLYCLINIC AND HOSPITAL, INC.",Private,N/A,General,Level 1,29,(045) 923-0537,immaculate_cpn2000@yahoo.com,1/1/2025,12/31/2025
,203,REGION 3,Tarlac,Gerona,Abagon,GERONA HOSPITAL OF THE SACRED HEART,Private,N/A,General,Level 1,20,(045) 931-0977,ghsh_vpa@yahoo.com,1/1/2025,12/31/2025
,204,REGION 3,Tarlac,Paniqui,"#5 Baltazar Subd., Poblacion Norte","RAYOS-VALENTIN HOSPITAL, INC.",Private,N/A,General,Level 1,48,(045) 931-0621,rayosvalentinhospital@yahoo.com,1/1/2025,12/31/2025
,205,REGION 3,Tarlac,Tarlac City,"Hospital Drive, San Vicente",CENTRAL LUZON DOCTORS' HOSPITAL,Private,N/A,General,Level 3,138,045-982-0806,mail@cldh.org,1/1/2025,12/31/2025
,206,REGION 3,Tarlac,Tarlac City,"Mc Arthur Highway , San Nicolas",JECSONS' MEDICAL CENTER,Private,N/A,General,Level 2,150,982-5501/5507,jecsons03@gmail.com,1/1/2025,12/31/2025
,207,REGION 3,Tarlac,Tarlac City,Blk 6 F. Tañedo San Nicolas,"LOVING MOTHER GENERAL HOSPITAL AND DIAGNOSTIC CENTER, INC.",Private,N/A,General,Level 2,100,0917-1564-432,information@lmghdc.com.ph,1/1/2025,12/31/2025
,208,REGION 3,Tarlac,Tarlac City,P. Hilario St. Ligtasan,RAMOS GENERAL HOSPITAL,Private,N/A,General,Level 2,90,045-982-7074,rghrecords23@gmail.com,1/1/2025,12/31/2025
,209,REGION 3,Tarlac,Tarlac City,"F. Tañedo St., Poblacion",TALON GENERAL HOSPITAL,Private,N/A,General,Level 2,50,045-9820239,talongeneralhospital@talonemi.com,1/1/2025,12/31/2025
,210,REGION 3,Tarlac,Tarlac City,San Vicente,TARLAC MEDICAL CENTER,Private,N/A,General,Level 2,100,9567520708,"tarlacmed@tarlacmedicalcenter.com
tarlacmedicalcenter.com",1/1/2025,12/31/2025
,211,REGION 3,Zambales,Iba,"Palanginan, Iba",SAINT PIO'S MEDICAL CENTER,Private,N/A,General,Level 2,55,047-602-0911/ 0918-935-6062,,1/1/2025,12/31/2025
,212,REGION 3,Zambales,Iba,"#616 National Road, Palanginan",STA. CECILIA MEDICAL CENTER,Private,N/A,General,Level 1,27,(047) 811-3317,scmc_08@yahoo.com,1/1/2025,12/31/2025
,213,REGION 3,Zambales,Olongapo City,"#62-18Th St., Corner Harris, St. E.B.B.",RIDON'S ST. JUDE MEDICAL CENTER,Private,N/A,General,Level 1,20,047 222 5833,ridonst.judemedicalcenter@yahoo.com,1/1/2025,12/31/2025
,214,REGION 3,Zambales,Olongapo City,"National Highway, Brgy. Baretto","ULTICARE MEDICAL CENTER, INC.",Private,N/A,General,Level 2,80,9602496427,,1/1/2025,12/31/2025
,215,REGION 3,Zambales,Olongapo City,"#14 Brill St., West Bajac Bajac",ZMMG COOP HOSPITAL,Private,N/A,General,Level 1,17,(047) 602-0278,zmmgcoop@yahoo.com/zmmg.hrd@gmail.com,1/1/2025,12/31/2025
,216,REGION 3,Zambales,Subic,"Block 8 Lot 1A &1B Dewey Ave. Cbd Area, Sbfz, Subic","ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BAYPOINTE, INC.",Private,N/A,General,Level 2,87,0948-805-5358,boardsec@unihealthbaypointe.com,1/1/2025,12/31/2025
,217,REGION 4-A,Batangas,Balayan,"Brgy. Langgangan, Balayan, Batangas 4213",BALAYAN BAYVIEW HOSPITAL AND MEDICAL CENTER,Private,N/A,General,Level 1,45,9365852893/ 043-4073508,balayanbayviewhospitalmc@gmail.com,1/1/2025,12/31/2025
,218,REGION 4-A,Batangas,Balayan,"Brgy. Lanatan, Balayan, Batangas",MEDICAL CENTER WESTERN BATANGAS,Private,N/A,General,Level 2,40,9273263432,medicalcenterwesterbatangas@yahoo.com,1/1/2025,12/31/2025
,219,REGION 4-A,Batangas,Balayan,"National Highway, Brgy. Caloocan, Balayan,
Batangas",METRO BALAYAN MEDICAL CENTER,Private,N/A,General,Level 2,58,9175935143,metrobalayanmedicalcenter@yahoo.com.ph,1/1/2025,12/31/2025
,220,REGION 4-A,Batangas,Batangas City,"Brgy. Gulod Itaas, Batangas City, Batangas","BATANGAS HEALTH CARE HOSPITAL, JESUS OF NAZARETH",Private,N/A,General,Level 2,139,043-7232918,bhchjon_nazareth@yahoo.com,1/3/2025,12/31/2025
,221,REGION 4-A,Batangas,Batangas City,"Diversion Road, Barangay Alangilan, Batangas City, Batangas",BATANGAS HEALTHCARE SPECIALISTS MEDICAL CENTER,Private,N/A,General,Level 2,78,043-7412345/09192704555/ 09209063507/ 09178504411,suzyflorentino12@yahoo.com,1/1/2025,12/31/2025
,222,REGION 4-A,Batangas,Batangas City,"17 P. Prieto St., Brgy. 4, Poblacion, Batangas City, Batangas","GOLDEN GATE BATANGAS HOSPITAL, INC.",Private,N/A,General,Level 2,100,043-7232508/ 09499954918,gggh_HR@yahoo.com,1/1/2025,12/31/2025
,223,REGION 4-A,Batangas,Batangas City,"Lopez Jaena St., Batangas City",SAINT PATRICK’S HOSPITAL MEDICAL CENTER,Private,N/A,General,Level 2,100,9166851791,sphmc.bb@gmail.com,1/1/2025,12/31/2025
,224,REGION 4-A,Batangas,Batangas City,"Diversion Road, Bolbok, Batanga City, Batangas",UNITED DOCTORS OF ST. CAMULLUS DE LELIS HOSPITAL AND MEDICAL CENTER,Private,N/A,General,Level 2,48,9189218740,stcamillus.fu23@gmail.com,1/1/2025,12/31/2025
,225,REGION 4-A,Batangas,Bauan,"F. Mangobos St., Poblacion 1, Bauan, Batangas",BAUAN DOCTORS GENERAL HOSPITAL,Private,N/A,General,Level 2,100,043-7274019/ 09209076738,bauandoctors@gmail.com,1/1/2025,12/31/2025
,226,REGION 4-A,Batangas,Calaca,"Barangay Bagong Tubig, Calaca, Batangas",OSPITAL NG CALACA,Private,N/A,General,Level 1,35,9778526628/ 09155462074/ 043-2237708,onc.mchc@gmail.com,1/1/2025,12/31/2025
