"hospital_name","source","region","province","municipality","ownership","ownership_class","class","service_capability","beds","BLDG OR HOUSE NO., STREET, BRGY (as applicable)","CONTACT NOS.","E-MAIL ADDRESS","VALIDITY FROM","VALIDITY UNTIL"
METRO SAN JOSE MEDICAL CENTER,Private,REGION 4-A,Batangas,San Jose,Private,"",General,Level 2,"50","Banaybanay 2Nd, San Jose, Batangas",(043) 726-0207/0960-472-0582,msjmc2012@yahoo.com,"1/1/2025","12/31/2025"
DIVINE CARE HOSPITAL,Private,REGION 4-A,Batangas,San Juan,Private,"",General,Level 1,"12","Sico 2.O, San Juan, Batangas","043-4200501/ 09304020098",divinecarehospital@yahoo.com,"1/1/2025","12/31/2025"
"SAN JUAN DOCTORS HOSPITAL, INC.",Private,REGION 4-A,Batangas,San Juan City,Private,"",General,Level 1,"28","Pulo, Calit-Calit, San Juan, Batangas","043-7838879/ 09666479072",sanjuandoctors@gmail.com,"1/1/2025","12/31/2025"
SAINT PASCAL DE BAYLON HOSPITAL CORPORATION,Private,REGION 4-A,Batangas,San Pascual,Private,"",General,Level 1,"22","Aquino Avenue, Poblacion, San Pascual, Batangas","4250062/ 09308126080",spdbh@yahoo.com,"1/1/2025","12/31/2025"
SAN ANTONIO LIFE CARE HOSPITAL,Private,REGION 4-A,Batangas,San Pascual,Private,"",General,Level 2,"35","National Highway, Brgy. San Antonio, San Pascual, Batangas","0917-1542839",sanantoniolifecarecorporation@yahoo.com,"1/1/2025","12/31/2025"
SAINT VINCENT DE PAUL HOSPITAL,Private,REGION 4-A,Batangas,Sto. Tomas,Private,"",General,Level 1,"15","A. Mabini St., Brgy. 2, Poblacion, Sto. Tomas, Batangas","043-778-6309; 09770828323",april1829sumague@gmail.com,"1/1/2025","12/31/2025"
SANTO TOMAS GENERAL HOSPITAL,Private,REGION 4-A,Batangas,Sto. Tomas,Private,"",General,Level 1,"15","1181 Pres. J.P. Laurel Highway, San Roque, Sto. Tomas, Batangas","09178002056/ 043-7295060",stgh91@yahoo.com,"1/1/2025","12/31/2025"
"ST. FRANCES CABRINI MEDICAL CENTER, INCORPORATED",Private,REGION 4-A,Batangas,Sto. Tomas,Private,"",General,Level 2,"100","Maharlika Highway, Poblacion 2, Sto. Tomas, Batangas",(043) 778-4811,cabrini.medicalcenter@gmail.com,"1/1/2025","12/31/2025"
TAAL POLYMEDIC HOSPITAL AND MEDICAL CENTER,Private,REGION 4-A,Batangas,Taal,Private,"",General,Level 2,"17","Diversion Road, Carsuche, Taal, Batangas","043 7414344",taalpolymedcenter@gmail.com,"1/1/2025","12/31/2025"
"GLOBAL CARE MEDICAL CENTER OF TALISAY, INC.",Private,REGION 4-A,Batangas,Talisay City,Private,"",General,Level 2,"40","West Nature, Nuvali North, Brgy. Sto. Domingo, Sta. Rosa City, Laguna","043-778-4888",qmstalisay@gmail.com,"1/1/2025","12/31/2025"
ST. ANDREW HOSPITAL,Private,REGION 4-A,Batangas,Talisay City,Private,"",General,Level 1,"12","Tumaway Talisay, Batangas","043-7730196 /0998510 3905",standrewhospital1982@gmail.com,"1/1/2025","12/31/2025"
GONZALES MEDICAL AND CHILDREN'S HOSPITAL INC.,Private,REGION 4-A,Batangas,Tanauan City,Private,"",General,Level 1,"38","50 Sixto Castillo Street, Barangay V, Tanauan City, Batangas","9985365283",gonzaleshospital@yahoo.com.ph,"1/1/2025","12/31/2025"
H.M. CORACHEA GENERAL HOSPITAL,Private,REGION 4-A,Batangas,Tanauan City,Private,"",General,Level 1,"24","Collantes St., Poblacion, Brgy. 7, Tanauan City, Batangas","9159815423",hm_corachea@yahoo.com,"1/1/2025","12/31/2025"
HEALTHWAY DANIEL MERCADO MEDICAL CENTER,Private,REGION 4-A,Batangas,Tanauan City,Private,"",General,Level 2,"127","No. 1 Pres. Laurel Highway, Tanauan City, Batangas",(043)7781810,gsd.tan@qualimed.com.ph,"1/1/2025","12/31/2025"
TANAUAN MEDICAL CENTER (FORMERLY C.P. REYES HOSPITAL),Private,REGION 4-A,Batangas,Tanauan City,Private,"",General,Level 2,"70","A. Mabini Avenue, Tanauan City, Batangas",(043) 784-5401 loc. 657,tanauanmedicalcenter.licensing@gmail.com,"1/1/2025","12/31/2025"
DLS-DR. RODOLFO POBLETE MEMORIAL HOSPITAL,Private,REGION 4-A,Cavite,Alfonso,Private,"",General,Level 1,"12","Burgos St. Brgy. 1, Alfonzo, Cavite","046-4150190/ 09611963254",pobletehospital@yahoo.com,"1/1/2025","12/31/2025"
BACOOR DOCTORS MEDICAL CENTER,Private,REGION 4-A,Cavite,Bacoor City,Private,"",General,Level 1,"12","Molino Boulevard, Bayanan, Bacoor, Cavite",(046) 416-6275,bacoordoctors2010@yahoo.com,"1/1/2025","12/31/2025"
"CAVITE EAST ASIA MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Bacoor City,Private,"",General,Level 2,"50","Molino Road, Brgy. Molino Iii, Bacoor City, Cavite","046-4310000 loc 109/02/ 09178366901",samc.medicaldirector@gmailcom,"1/1/2025","12/31/2025"
METRO SOUTH MEDICAL CENTER,Private,REGION 4-A,Cavite,Bacoor City,Private,"",General,Level 2,"30","National Road, Molino Iv, Bacoor City, Cavite","046-4771743/ 09178602104",metrosouthmedicalcenter@yahoo.con.ph,"1/1/2025","12/31/2025"
MOLINO DOCTORS HOSPITAL,Private,REGION 4-A,Cavite,Bacoor City,Private,"",General,Level 1,"15","National Road, Molino Ii, Bacoor, Cavite","4771661/ 09175028386",molinodoctors@yahoo.com,"1/1/2025","12/31/2025"
"SOUTH CITY HOSPITAL AND MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Bacoor City,Private,"",General,Level 2,"100","115 Daanghari Road, Brgy. Molino 4 Bacoor City, Cavite","046 4198240",schmc.official@gmail.com,"1/1/2025","12/31/2025"
"ST. DOMINIC MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Bacoor City,Private,"",General,Level 2,"65","Aguinaldo Highway, Talaba, Bacoor City, Cavite",(046) 417-2525 / 09985994201,stdominicmedicalcenter@sdmc.com.ph,"1/1/2025","12/31/2025"
"YR. ST. MICHAEL MEDICAL HOSPITAL, INC.",Private,REGION 4-A,Cavite,Bacoor City,Private,"",General,Level 1,"28","220 Molino Road, Molino Ii, Bacoor City, Cavite","9552083657",smmh_1997@yahoo.com,"1/1/2025","12/31/2025"
"CARMONA HOSPITAL AND MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Carmona,Private,"",General,Level 2,"49","Macaria Business Center, Governors Drive Purificacion St., Brgy. Mabuhay, Carmona, Cavite","046-4300295/ 09088142648",exceutiveoffice@carmonahospitalmedicalcenter.com,"1/1/2025","12/31/2025"
A. DELA CRUZ MATERNITY HOSPITAL,Private,REGION 4-A,Cavite,Cavite City,Private,"",General,Level 1,"11","910 Crescini St., Caridad, Brgy., 47B Pagkakaisa, Cavite City, Cavite","046-4313185/ 09954598640",adelacruzmaternityhospital@gmail.com,"1/1/2025","12/31/2025"
BAUTISTA HOSPITAL,Private,REGION 4-A,Cavite,Cavite City,Private,"",General,Level 1,"36","375 P. Burgos Ave., Caridad Cavite City","0998-359-9295 / (046 - 431-0330)/ 09064551728",bautistahospital@yahoo.com.ph,"1/1/2025","12/31/2025"
"CAVITE MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Cavite City,Private,"",General,Level 1,"25","Manila-Cavite Road, Dalahican, Cavite City","431-9988 loc. 107",cavitemedical.omd@gmail.com,"1/1/2025","12/31/2025"
"ST. PAUL HOSPITAL CAVITE, INC.",Private,REGION 4-A,Cavite,Cavite City,Private,"",General,Level 1,"20","Burol Ii, Bagong Bayan, Dasmarinas City, Cavite","046-4818270-73/ 09369396090",sphcavite.2007@gmail.com,"1/1/2025","12/31/2025"
ASIA MEDIC FAMILY HOSPITAL AND MEDICAL CENTER,Private,REGION 4-A,Cavite,Dasmariñas City,Private,"",General,Level 1,"77","Old Pala-Pala Road, Sampaloc I, Dasmariñas City, Cavite","046-4542749",dpo.amfhmc@yahoo.com,"1/1/2025","12/31/2025"
"DASMARIÑAS CITY MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Dasmariñas City,Private,"",General,Level 2,"60","Salawag Crossing, Barangay Salawag, City Of Dasmariñas, Cavite",(046) 483-9000 LOCAL 9031/ 09175113539,dasmarinascitymedicalcenterinc@gmail.com,"1/1/2025","12/31/2025"
DE LA SALLE UNIVERSITY MEDICAL CENTER,Private,REGION 4-A,Cavite,Dasmariñas City,Private,"",General,Level 3,"250","Gov. Dominador I. Mangubat Avenue, Zone 4, City Of Dasmariñas, Cavite","63464818000",dlsumc.marketing@dlshsi.edu.ph,"1/1/2025","12/31/2025"
EMILIO AGUINALDO COLLEGE MEDICAL CENTER CAVITE,Private,REGION 4-A,Cavite,Dasmariñas City,Private,"",General,Level 2,"154","Brgy. Salitran 2, Dasmarinas City, Cavite","046-4163010/ 09988453685/ 09178634010",quality_assurance@eacmed.org.ph,"1/1/2025","12/31/2025"
GMF HOSPITAL,Private,REGION 4-A,Cavite,Dasmariñas City,Private,"",General,Level 1,"12","#24 Camerino Avenue, Zone 4, City Of Dasmariñas, Cavite","9423807860",gmfhospital@gmail.com,"1/1/2025","12/31/2025"
MEDCOR DASMARIÑAS HOSPITAL AND MEDICAL CENTER,Private,REGION 4-A,Cavite,Dasmariñas City,Private,"",General,Level 2,"27","Aguinaldo Highway, Malinta, Dasmariñas, Cavite","9669522491",medcordasmariñashospital@gmail.com,"7/11/2025","12/31/2025"
CITY OF GENERAL TRIAS DOCTORS MEDICAL CENTER INC.,Private,REGION 4-A,Cavite,General Trias City,Private,"",General,Level 2,"100","Governor'S Drive, Manggahan, General Trias, Cavite","046-4162222",gentridoctors@yahoo.com,"1/1/2025","12/31/2025"
DIVINE GRACE MEDICAL CENTER,Private,REGION 4-A,Cavite,General Trias City,Private,"",General,Level 2,"75","Antero Soriano Highway, General Trias, Tejero, Cavite","9778208457",qad@divinegracemedicalcenter.com,"1/1/2025","12/31/2025"
GENERAL TRIAS MATERNITY AND PEDIATRIC HOSPITAL,Private,REGION 4-A,Cavite,General Trias City,Private,"",General,Level 1,"50","General Trias Drive, Tejero, General Trias, Cavite","046-4370124/ 046-4378111/ 09175498212",gtmph_07@yahoo.com,"1/1/2025","12/31/2025"
"GENTRI MEDICAL CENTER AND HOSPITAL, INC.",Private,REGION 4-A,Cavite,General Trias City,Private,"",General,Level 2,"50","Santusan Street, Brgy. Manggahan, General Trias, Cavite","9171043337",gentri.corporate2018@gmail.com,"1/1/2025","12/31/2025"
"CITY OF IMUS DOCTORS HOSPITAL, INC.",Private,REGION 4-A,Cavite,Imus City,Private,"",General,Level 2,"100","Aguinaldo Highway, Anabu I, Imus City, Cavite","046-4355500/ 09177076714",cityofimusdoctorshospitalinc@gmail.com,"1/1/2025","12/31/2025"
IMUS FAMILY HOSPITAL,Private,REGION 4-A,Cavite,Imus City,Private,"",General,Level 1,"15","Justinville 2 Palico, I Imus Cavite","464716403",imusfamilyhospital.rec@gmail.com,"1/1/2025","12/31/2025"
MEDICAL CENTER IMUS,Private,REGION 4-A,Cavite,Imus City,Private,"",General,Level 2,"90","Diversion Road, Palico Iv, Imus, Cavite","9175984781",mci_presidents_office@yahoo.com,"1/1/2025","12/31/2025"
OUR LADY OF THE PILLAR MEDICAL CENTER,Private,REGION 4-A,Cavite,Imus City,Private,"",General,Level 2,"100","Tamsui Avenue, Bayan Luma, Imus City, Cavite","046-4723773/4355900/ 09178292843/ 09178013773",ealcoran@olmpc.net,"1/1/2025","12/31/2025"
PAREDES MEDICAL CENTER AND HOSPITAL,Private,REGION 4-A,Cavite,Imus City,Private,"",General,Level 1,"17","Mi Paredes Bldg., Aguinaldo Highway, Bayan Luma 4, Imus, Cavite","9279172681",pmc_0305@yahoo.com,"1/1/2025","12/31/2025"
"SOUTH IMUS SPECIALIST HOSPITAL, INC.",Private,REGION 4-A,Cavite,Imus City,Private,"",General,Level 2,"100","D.C. Ilano Blvd., Anabu 2C, City Of Imus, Cavite","9175541680",southimusspecialisthospital@gmail.com,"1/1/2025","12/31/2025"
"BINAKAYAN HOSPITAL AND MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Kawit,Private,"",General,Level 2,"50","175 Covelandia Road, Brgy. Balsahan-Bisita, Binakayan, Kawit, Cavite","09565232002 / (046) 5160500 local 507",binakayanhmc@gmail.com,"1/1/2025","12/31/2025"
"SAN PEDRO CALUNGSOD MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Kawit,Private,"",General,Level 2,"65","3141-C Kalayaan Ave., Brgy. Magdalo, Kawit, Cavite","02-5844355/ 09471063339",spcmc.kawit@gmail.com,"1/1/2025","12/31/2025"
"MENDEZ SPECIALISTS MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Mendez,Private,"",General,Level 2,"100","Tagaytay-Mendez Road, brgy. Galicia III, Mendez, Cavite","9175541680",mendezspecialistsmc@gmail.com,"1/1/2025","12/31/2025"
FIRST FILIPINO SAINT HOSPITAL,Private,REGION 4-A,Cavite,Naic,Private,"",General,Level 1,"25","Governor'S Drive, Brgy. San Roque, Naic, Cavite","09175022366/ 09175029404/ 046-4121411/ 09175029406",firstfilipinosainthospital@gmail.com,"1/1/2025","12/31/2025"
"NAIC DOCTORS HOSPITAL, INC.,",Private,REGION 4-A,Cavite,Naic,Private,"",General,Level 1,"30","Daang Makina, Naic, Cavite","046-4121443/ 09167325982",naic_doctors@yahoo.com,"1/1/2025","12/31/2025"
ST. MARTIN MATERNITY & PEDIATRIC HOSPITAL,Private,REGION 4-A,Cavite,Noveleta,Private,"",General,Level 1,"40","Salcedo Ii, Noveleta, Cavite","046-4381112/ 046-4384466",smmph.04@gmail.com,"1/1/2025","12/31/2025"
"OUR SAVIOR HOSPITAL, INCORPORATED",Private,REGION 4-A,Cavite,Rosario,Private,"",General,Level 1,"12","General Trias Drive, Pob., Rosario, Cavite","046-4381802/ 09178659265",osh_cavite1968@yahoo.com,"1/1/2025","12/31/2025"
"SILANG SPECIALISTS MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Silang,Private,"",General,Level 2,"100","Aguinaldo Hi-Way, San Vicente Ii, Silang, Cavite","9175541680",silangspecialistsmc@gmail.com,"1/1/2025","12/31/2025"
"ST. MAZENOD HOSPITAL, INCORPORATED",Private,REGION 4-A,Cavite,Silang,Private,"",General,Level 1,"12","Blk 113 Lot 7 & 8 Afp Housing, Bulihan, Silang, Cavite","9338781049",stmazenodhospital@yahoo.com,"1/1/2025","12/31/2025"
VELAZCO HOSPITAL,Private,REGION 4-A,Cavite,Silang,Private,"",General,Level 1,"25","J.P. Rizal St., Sabutan, Silang, Cavite",(046) 414-0280,velazcohospital@yahoo.com,"1/1/2025","12/31/2025"
"TAGAYTAY MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Tagaytay,Private,"",General,Level 2,"90","E. Aguinaldo Highway, Silang Crossing East, Rotonda, Tagaytay City, Cavite","02-5844209/ 4143954/ 09989626586",info@tagaytaymed.com.ph,"1/1/2025","12/31/2025"
JNRAL FAMILY CORPORATION,Private,REGION 4-A,Cavite,Tanza,Private,"",General,Level 1,"22","A. Soriano Highway, Bgy. Sahud Ulan, Tanza, Cavite","046-4896398/ 09052535502",nedy_viray@yahoo.com.ph,"1/1/2025","12/31/2025"
TANZA DOCTORS HOSPITAL INC.,Private,REGION 4-A,Cavite,Tanza,Private,"",General,Level 2,"102","A. Soriano Highway, Brgy. Sahud Ulan, Tanza, Cavite","046 4310245",tanzadoctorshospital@yahoo.com.ph,"1/1/2025","12/31/2025"
TANZA FAMILY GENERAL HOSPITAL AND PHARMACY,Private,REGION 4-A,Cavite,Tanza,Private,"",General,Level 1,"18","A. Soriano Highway, Daang Amaya 2, Tanza, Cavite",(0460 437-7244,tfghcavite@yahoo.com,"1/1/2025","12/31/2025"
"TANZA SPECIALISTS MEDICAL CENTER, INC.",Private,REGION 4-A,Cavite,Tanza,Private,"",General,Level 2,"100","Daang Amaya Iii, Tanza, Cavite","9175541680",tanzaspecialists@gmail.com,"1/1/2025","12/31/2025"
M.V. SANTIAGO MEDICAL CENTER,Private,REGION 4-A,Cavite,Trece Martires City,Private,"",General,Level 1,"50","De Ocampo, Trece Martires, Cavite","046-4191877/ 09178860805",mvsmc25@gmail.com,"1/1/2025","12/31/2025"
"GLOBAL CARE MEDICAL CENTER OF BAY, INC.",Private,REGION 4-A,Laguna,Bay,Private,"",General,Level 2,"80","National Highway, Brgy. Maitim, Bay, Laguna","0917-6257368",rjalmoromd@yahoo.com,"1/1/2025","12/31/2025"
"BINAN DOCTORS' HOSPITAL, INCORPORATED",Private,REGION 4-A,Laguna,Biñan City,Private,"",General,Level 2,"75","Platero, Binan City, Laguna","049-5119159","info@binandoctors.com.ph/ Binandoctors197@gmail,com","1/1/2025","12/31/2025"
"UNIHEALTH-SOUTHWOODS HOSPITAL AND MEDICAL CENTER, INC.",Private,REGION 4-A,Laguna,Biñan City,Private,"",General,Level 2,"100","Blk 11 Lot 3, Southwoods Ecocentrum Business Park, Brgy. San Francisco, Biñan City, Laguna",(02) 8775-2861/ (02) 8898 9700,admin@unihealthsouthwoodshospital.com,"1/1/2025","12/31/2025"
UPH-DR. JOSE G. TAMAYO MEDICAL CENTER,Private,REGION 4-A,Laguna,Biñan City,Private,"","",Level 3,"250","Brgy. Sto. Niño, Biñan, Laguna",(02) 8779 5310,hospital@phmch.com,"1/1/2025","12/31/2025"
"FIRST CABUYAO HOSPITAL AND MEDICAL CENTER, INC.",Private,REGION 4-A,Laguna,Cabuyao City,Private,"",General,Level 2,"50","Km. 44 National Highway, Purok 5, Brgy. Sala City Of Cabuyao, Laguna","6.3921E+11",firstcare@fchmci.com,"1/1/2025","12/31/2025"
"GLOBAL MEDICAL CENTER OF LAGUNA, INC.",Private,REGION 4-A,Laguna,Cabuyao City,Private,"",General,Level 2,"90","National Highway, Brgy. Barlic, Cabuyao City, Laguna","0917-8617500/ 09992261483",gmclqms@gmail.com,"1/1/2025","12/31/2025"
"HOLY ROSARY OF CABUYAO HOSPITAL, INC.",Private,REGION 4-A,Laguna,Cabuyao City,Private,"",General,Level 1,"43","Rosario Village, Sala, Cabuyao, Laguna","049-5026024/ 09989655718/ 09171576567/ 09255648311",hr_holyrosary@yahoo.com,"1/1/2025","12/31/2025"
"SAINT GABRIEL MEDICAL CENTER, INC.",Private,REGION 6,Aklan,Kalibo,Private,"",General,Level 2,"120","Arch. G. M. Reyes, Barangay Poblacion","036-268-3710",stgabmedicalcenter@yahoo.com,"1/1/2025","12/31/2025"
"AMSI DOCTORS' MEDICAL CENTER, INC.",Private,REGION 4-A,Laguna,Calamba City,Private,"",General,Level 2,"40","National Highway, Halang, Calamba City, Laguna","09951480527/ 09988897219",mmriles@amsidoctors.com.ph,"1/1/2025","12/31/2025"
CALAMBA DOCTORS' HOSPITAL,Private,REGION 4-A,Laguna,Calamba City,Private,"",General,Level 2,"120","Km.49, National Highway, Parian, Calamba City, Laguna","049-5457371/ 09491888540",amsicdh.conference@gmail.com,"1/1/2025","12/31/2025"
"CALAMBA MEDICAL CENTER, INC.",Private,REGION 4-A,Laguna,Calamba City,Private,"",General,Level 2,"130","Crossing, Brgy. Real, Calamba City, Laguna","049-5451740/ 09153054509",marsandiego@cmc.ph,"1/1/2025","12/31/2025"
"GLOBAL CARE MEDICAL CENTER OF CANLUBANG, INC.",Private,REGION 4-A,Laguna,Calamba City,Private,"",General,Level 2,"91","J. Yulo Avenue, Brgy. Canlubang, Calamba City, Laguna","049-5205626/ 09177080413",gcmcc@globalcarehospitals.com,"1/1/2025","12/31/2025"
PAMANA MEDICAL CENTER,Private,REGION 4-A,Laguna,Calamba City,Private,"",General,Level 1,"72","National Highway, Halang, Calamba City, Laguna","049-5549690/ 09956335272/ 09956335272",pamana_medical_center@yahoo.com,"1/1/2025","12/31/2025"
"ST. JOHN THE BAPTIST MEDICAL CENTER, INC.",Private,REGION 4-A,Laguna,Calamba City,Private,"",General,Level 1,"60","Parian, Calamba City, Laguna","049-5457528/ 09322874631/ 09323028388",stjohnmedicalcalamba@gmail.com,"1/1/2025","12/31/2025"
EASTERN LAGUNA MEDICAL HOSPITAL,Private,REGION 4-A,Laguna,Famy,Private,"",General,Level 1,"18","Famy Infanta Road, Brgy. Tunhac, Famy, Laguna","049-5019635 09365254129 09682329769",elmhfamy2016@gmail.com,"1/1/2025","12/31/2025"
HEALTHSERV LOS BANOS MEDICAL CENTER,Private,REGION 4-A,Laguna,Los Baños,Private,"",General,Level 2,"60","#8817 National Highway, Batong Malake, Los Banos, Laguna","049-5364858/ 09267163291/ 09088727864/ 09278895349",info@healthserv.com.ph,"1/1/2025","12/31/2025"
LOS BANOS DOCTORS HOSPITAL AND MEDICAL CENTER INCORPORATED,Private,REGION 4-A,Laguna,Los Baños,Private,"",General,Level 2,"80","Lopez Ave., Brgy. Batong Mlake, Los Banos, Laguna","049-5360100/ 09175796617",lbdhmc@lbdhmc.com.ph,"1/1/2025","12/31/2025"
ST. JUDE FAMILY HOSPITAL,Private,REGION 4-A,Laguna,Los Baños,Private,"",General,Level 1,"35","60 Gen. Luna St., Banaba, San Mateo Rizal","049-5361982 09171256491",stjudefamilyhospital@gmail.com,"1/1/2025","12/31/2025"
"PAGSANJAN MEDICAL CLINIC, INC.",Private,REGION 4-A,Laguna,Pagsanjan,Private,"",General,Level 1,"12","Brgy. Sampalocan, Pagsanjan, Laguna",(049) 501-4228/ 09178669407,pagsanjan_med_pmci@yahoo.com,"1/1/2025","12/31/2025"
"COMMUNITY GENERAL HOSPITAL OF SAN PABLO CITY, INC.",Private,REGION 4-A,Laguna,San Pablo City,Private,"",General,Level 2,"99","C. Colago Avenue, San Pablo City, Laguna","049-5622053/ 5621314",cghspci.6@gmail.com,"1/1/2025","12/31/2025"
SAN PABLO COLLEGES MEDICAL CENTER,Private,REGION 4-A,Laguna,San Pablo City,Private,"",General,Level 2,"135","Maharlika Highway, Brgy. San Rafael, San Pablo City, Laguna","049-5620726",spcmedicalcenter@gmail.com/ mmmanalo@spcmc.com.ph,"1/1/2025","12/31/2025"
"SAN PABLO DOCTORS HOSPITAL, INC.",Private,REGION 4-A,Laguna,San Pablo City,Private,"",General,Level 2,"30","#55 A. Mabini St., San Pablo City, Laguna","049 562-4069 / 09177206659",spdhinc_66@yahoo.com,"1/13/2025","12/31/2025"
"STS. FRANCIS & PAUL GENERAL HOSPITAL, INC.",Private,REGION 4-A,Laguna,San Pablo City,Private,"",General,Level 1,"30","Farconville Subd. Brgy. San Francisco, San Pablo City, Laguna",(049) 562-8097/ 09120471277,sfpgh74@yahoo.com,"1/1/2025","12/31/2025"
"DIVINE MERCY HOSPITAL, INC.",Private,REGION 4-A,Laguna,San Pedro City,Private,"",General,Level 1,"30","Lots 9 & 10, Amante Subd., Brgy. Nueva, San Pedro City, Laguna",(02) 8808-3392/93/ 09178073448,info@newdivinemercyhospital.com.ph,"1/1/2025","12/31/2025"
EVANGELISTA MEDICAL SPECIALTY HOSPITAL,Private,REGION 4-A,Laguna,San Pedro City,Private,"",General,Level 1,"40","Macaria Ave. Pacita Complex 1, City Of San Pedro, Laguna","88081829/ 09564726097",emsh.compliance@gmail.com,"1/1/2025","12/31/2025"
"SAN PEDRO DOCTORS HOSPITAL, INC.",Private,REGION 4-A,Laguna,San Pedro City,Private,"",General,Level 1,"27","National Highway, Landayan, City Of San Pedro, Laguna",(02) 88681961/ 09209269385,spdhi1998@gmail.com,"1/1/2025","12/31/2025"
WESTLAKE MEDICAL CENTER,Private,REGION 4-A,Laguna,San Pedro City,Private,"",General,Level 2,"60","National Highway, Brgy. Nueva, San Pedro, Laguna","02-5538185/ 09177703271",medicalaffairs@westlakemed.com.ph,"1/1/2025","12/31/2025"
"LAGUNA DOCTORS HOSPITAL, INC.",Private,REGION 4-A,Laguna,Santa Cruz,Private,"",General,Level 2,"96","P. Guevara St., Sitio Mapagmahal, Brgy. Pagsawitan, Sta. Cruz, Laguna","049-5013218/ 09293479727",lagunadoctors95@yahoo.com,"1/1/2025","12/31/2025"
"LAGUNA HOLY FAMILY HOSPITAL, INC.",Private,REGION 4-A,Laguna,Santa Cruz,Private,"",General,Level 2,"70","#1824 J. De Leon St., Brgy. Pagsawitan, Sta. Cruz, Laguna","049-5011278/ 5011280 / 5013567/ 09062246657",LHFH2014@gmail.com,"1/1/2025","12/31/2025"
SANTA CRUZ LAGUNA POLYMEDIC INC.,Private,REGION 4-A,Laguna,Santa Cruz,Private,"",General,Level 1,"17","#780 National Highway, Brgy. Patimbao, Sta. Cruz, Laguna",(049) 501-9377,polymedichospital14@yahoo.com,"1/1/2025","12/31/2025"
"BALIBAGO POLYCLINIC AND HOSPITAL, INC.",Private,REGION 4-A,Laguna,Santa Rosa City,Private,"",General,Level 1,"12","Provincial Road, Brgy. Balibago, City Of Santa Rosa, Laguna","049-5341591",bphssr1996@gmail.com,"1/1/2025","12/31/2025"
CITYMEDIC EMERGENCY HOSPITAL CORP.,Private,REGION 4-A,Laguna,Santa Rosa City,Private,"",General,Level 1,"25","Rizal Blvd., Brgy. Tagapo, Sta. Rosa City, Laguna","049-8316867/ 09679165969",citymedic4a@yahoo.com,"1/1/2025","12/31/2025"
"MARIAN HOSPITAL OF STA. ROSA, INC.",Private,REGION 4-A,Laguna,Santa Rosa City,Private,"",General,Level 1,"28","816-A Rizal Blvd., Tagapo, Sta. Rosa City, Laguna","049-5844483/ 5844497",marian08_hospital@yahoo.com,"1/1/2025","12/31/2025"
"ST. JAMES HOSPITAL, INC.",Private,REGION 4-A,Laguna,Santa Rosa City,Private,"",General,Level 2,"80","Mariquita Pueblo, Dita, Sta. Rosa City, Laguna","049-5020058/ 09228293479/ 09228424330",stjames1993@yahoo.com,"1/1/2025","12/31/2025"
"UNIHEALTH-STA. ROSA HOSPITAL AND MEDICAL CENTER, INC. (FORMERLY STA. ROSA HOSPITAL AND MEDICAL CENTER)",Private,REGION 4-A,Laguna,Santa Rosa City,Private,"",General,Level 2,"99","Rsbs Blvd., San Lorenzo South Balibago, Sta. Rosa City, Laguna","049-5080915",sydney_sapno@yahoo.com,"1/1/2025","12/31/2025"
"SINILOAN PIONEER GENERAL HOSPITAL, INC.",Private,REGION 4-A,Laguna,Siniloan,Private,"",General,Level 1,"12","L. De Leon St., Brgy. Acevida, Siniloan, Laguna",(049) 523-0235/ 09190784526,siniloanprioneer2022@gmail.com,"1/1/2025","12/31/2025"
NEW SINAI MDI HOSPITAL,Private,REGION 4-A,Laguna,Sta. Maria,Private,"",General,Level 2,"66","National Highway, Tagapo, Santa Rosa City, Laguna",(02)7759-0634,qmsoffice@newsinaimdi.com,"1/1/2025","12/31/2025"
HEALTHWAY QUALIMED HOSPITAL SANTA ROSA,Private,REGION 4-A,Laguna,Sta. Rosa City,Private,"",General,Level 2,"102","West Nature, Nuvali North, Brgy. Sto. Domingo, Sta. Rosa City, Laguna","9178586632",information.str@qualimed.com.ph,"1/1/2025","12/31/2025"
THE MEDICAL CITY SOUTH LUZON,Private,REGION 4-A,Laguna,Sta. Rosa City,Private,"",General,Level 2,"100","Greenfield City, Brgy. Don Jose, Sta. Rosa City, Laguna",(049)3033000,tmcsl-custumercare@themedicalcity.com,"1/1/2025","12/31/2025"
"NUESTRA SEÑORA DE LOS ANGELES GENERAL HOSPITAL, INC.",Private,REGION 4-A,Quezon,Atimonan,Private,"",General,Level 1,"15","147 Quezon Street, Brgy. Zone I, Poblacion, Atimonan, Quezon","9171525122/ 09391372285",nsdagenhos2015@yahoo.com,"1/1/2025","12/31/2025"
